,GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,label
289,GBS-21717,,0.9643225771425686,-1.4300482425365908,-3.225203411570322,0.17633099834280683,-0.5734657706531676,-0.32536086436928074,1.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,-0.15779101750491065,-0.35259321250804426,3.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,3.0,1.0817512805203222,1
66,GBS-07026,,-1.0369973945473194,1.6058463430699486,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,4.0,-0.8305182273380257,1.1087726566327867,-0.4332674500342379,-0.15779101750491065,-0.35259321250804426,3.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,2.0,-1.7041206253972043,1
406,GBS-27540,,-1.0369973945473194,-0.18809136660664283,0.3100579629838321,0.17633099834280683,-0.5734657706531676,-0.32536086436928074,1.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,2.6710334803274143,1.5791827475854763,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,-0.3111846724384411,1
85,GBS-09377,,-1.0369973945473194,0.9848679051049747,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,4.0,-0.8305182273380257,0.3315755086596113,-1.2876461863035953,0.7851504817725311,1.5791827475854763,4.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,2.0,-1.7041206253972043,1
41,GBS-04671,,-1.0369973945473194,0.43288707135833115,0.3100579629838321,0.17633099834280683,-0.5734657706531676,0.977465930116216,5.0,-0.8305182273380257,-0.4456216393135642,2.1298687587738345,2.6710334803274143,1.5791827475854763,3.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,-0.3111846724384411,1
107,GBS-11239,,0.9643225771425686,-0.7400722003532864,0.3100579629838321,0.17633099834280683,1.176664050478243,-0.32536086436928074,6.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,-0.15779101750491065,-1.3184811925548046,3.0,3.0,3.0,2.0,0,0.3186954528873749,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,3.0,2.4746872334790853,1
17,GBS+00234,POSITIV,-1.0369973945473194,-0.6710745961349559,0.3100579629838321,0.17633099834280683,-0.5734657706531676,-0.32536086436928074,6.0,-0.8305182273380257,-0.4456216393135642,-0.4332674500342379,1.7280919810499729,0.613294767538716,3.0,2.0,3.0,2.0,0,0.3186954528873749,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.4746872334790853,1
522,GBS-32520,,0.9643225771425686,1.674843947288279,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,2.0,0.44588853915504323,-0.4456216393135642,-0.4332674500342379,-0.15779101750491065,0.613294767538716,3.0,3.0,4.0,2.0,0,0.3186954528873749,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,-1.7041206253972043,1
527,GBS-32766,NEGATIV,0.9643225771425686,0.43288707135833115,0.3100579629838321,0.17633099834280683,1.176664050478243,-0.32536086436928074,1.0,-0.8305182273380257,-0.4456216393135642,-1.2876461863035953,0.7851504817725311,-0.35259321250804426,4.0,4.0,3.0,1.0,0,0.3186954528873749,2.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,5.0,3.0,-1.7041206253972043,1
506,GBS-31650,,-1.0369973945473194,0.43288707135833115,0.3100579629838321,0.17633099834280683,1.176664050478243,0.977465930116216,2.0,-0.8305182273380257,1.8859698046059623,-1.2876461863035953,1.7280919810499729,0.613294767538716,1.0,2.0,2.0,3.0,0,0.3186954528873749,3.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,1.0817512805203222,1
