GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz
GBS-04614,,1.0,1981,1,1.0,1.0,2.0,4.0,1.0,0.0,3,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,5.0,3.0,2.0
GBS-04665,,0.0,1967,0,1.0,1.0,2.0,1.0,1.0,0.0,2,2.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
GBS-04671,,0.0,1974,1,1.0,1.0,3.0,5.0,1.0,0.0,5,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,2.0
GBS-04771,POSITIV,0.0,1970,1,1.0,1.0,3.0,5.0,1.0,0.0,3,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0
GBS-04789,,0.0,1972,1,1.0,1.0,3.0,5.0,1.0,2.0,2,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,5.0,2.0,3.0,1.0,4.0,1.0,5.0,3.0,5.0,3.0,1.0
GBS-04825,,1.0,1967,1,1.0,1.0,1.0,1.0,1.0,0.0,2,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0
GBS-04964,,0.0,1991,1,0.0,2.0,3.0,2.0,1.0,0.0,2,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0
GBS-04999,,0.0,1978,1,1.0,2.0,3.0,2.0,1.0,0.0,1,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,1.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0
GBS-05025,,0.0,1967,1,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,3.0,2.0,5.0
GBS-05132,,0.0,1978,1,1.0,1.0,2.0,5.0,1.0,0.0,3,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,4.0,5.0,2.0,2.0
GBS-05182,,0.0,1985,1,0.0,1.0,3.0,2.0,1.0,0.0,2,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,3.0
