Aktiv,Alles anstrengend,Alter,Andere kritisieren,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,Berufliche Ausbildung,Berufsgruppe,Desinteresse Politiker,Druck,Entspannt,Erwerbstaetigkeit,Familienstand,Faulheit,Geburtsland,Geschlecht,Gesellig,Gruendlich,Hoechster Bildungsabschluss,IE_ext1,IE_ext2,IE_int1,IE_int2,Id,Leben genießen,Nationalitaet,Nervoes,Nervös,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Optimismus,Optimismus Zukunft,Personen im Haushalt,Pessimismus,Phantasievoll,Resilienz,Schlechter Schlaf,Schulabschluss,Verärgert,Wach,Wahlabsicht,Wahlteilnahme,Zufriedenheit Leben,Zufriedenheit Wahlergebnis,Zurueckhaltend,label,leicht Vertrauen,wenig kuenstlerisches Interesse,woechentlicheArbeitszeit,Ängstlich
3.0,2.0,61.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,8.0,3.5,3.0,3.0,1.0,2.0,5.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,GBS-26161,3.0,1.0,3.0,3.0,1.0,1.0,6.0,5.0,eine Person,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,1,4.0,4.0,1.0,3.0
3.0,2.0,62.0,3.0,5.0,1.0,5.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,GBS-26583,3.0,1.0,2.0,4.0,4.0,3.0,6.0,5.0,"mehrere Personen, und zwar:",2.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,4.0,1,4.0,3.0,4.0,4.0
3.0,2.0,58.0,4.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,3.0,4.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,1.0,3.0,5.0,4.0,GBS-26693,3.0,1.0,2.0,4.0,0.0,0.0,7.0,5.0,eine Person,1.0,4.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,1,4.0,2.0,2.0,4.0
3.0,2.0,68.0,4.0,5.0,1.0,4.0,1.0,5.0,1.0,2.0,8.0,3.5,4.0,4.0,1.0,1.0,2.0,1.0,2.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,GBS-26856,3.0,1.0,3.0,4.0,2.0,2.0,6.0,5.0,eine Person,2.0,5.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1,3.0,1.0,1.0,4.0
3.0,2.0,56.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.5,3.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,GBS-26904,3.0,1.0,3.0,3.0,3.0,2.0,5.0,4.0,,3.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,1,4.0,5.0,5.0,4.0
3.0,2.0,66.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,8.0,3.5,4.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,4.0,4.0,GBS-27639,3.0,1.0,3.0,4.0,1.0,1.0,4.0,4.0,"mehrere Personen, und zwar:",3.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,1,3.0,5.0,1.0,4.0
3.0,2.0,33.0,3.0,5.0,2.0,4.0,1.0,5.0,1.0,2.0,3.0,3.5,4.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,GBS-27976,2.0,1.0,2.0,4.0,4.0,4.0,6.0,5.0,"mehrere Personen, und zwar:",2.0,5.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,1,4.0,2.0,5.0,4.0
3.0,2.0,62.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,6.0,3.0,3.5,4.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,GBS-28051,3.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,"mehrere Personen, und zwar:",1.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,1,2.0,5.0,3.0,4.0
3.0,2.0,23.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,8.0,3.0,3.5,3.0,5.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,3.0,2.0,1.0,5.0,4.0,GBS-28738,2.0,1.0,1.0,3.0,2.0,1.0,7.0,5.0,"mehrere Personen, und zwar:",1.0,4.0,2.0,3.0,4.0,2.0,4.0,1.0,1.0,4.0,3.0,2.0,1,4.0,2.0,2.0,4.0
3.0,2.0,63.0,2.0,5.0,2.0,5.0,2.0,5.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,0.0,3.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,5.0,5.0,GBS-29255,3.0,1.0,2.0,4.0,2.0,2.0,7.0,5.0,eine Person,1.0,5.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,1,2.0,2.0,3.0,4.0
